frequency,v1_0,v1_1,v1_2,v1_3,v1_4,v1_5,v1_6,v1_7,v1_8,v1_9,v1_10,v1_11,v1_12,v1_13,v1_14,v1_15,v1_16,v1_17,v1_18,v1_19,v1_20,v1_21,v1_22,v1_23,v1_24,v1_25,v1_26,v1_27,v1_28,v1_29,v1_30,v1_31,v2_0,v2_1,v2_2,v2_3,v2_4,v2_5,v2_6,v2_7,v2_8,v2_9,v2_10,v2_11,v2_12,v2_13,v2_14,v2_15,v2_16,v2_17,v2_18,v2_19,v2_20,v2_21,v2_22,v2_23,v2_24,v2_25,v2_26,v2_27,v2_28,v2_29,v2_30,v2_31,class
5882650,-106.814,-92.0554,-74.5028,-88.3563,-89.0001,-89.3422,-89.2829,-88.6776,-88.0237,-87.5946,-87.7839,-88.6433,-89.858,-88.9788,-86.8859,-86.3649,-85.8883,-85.2986,-85.8371,-87.0987,-87.8396,-88.1377,-87.7768,-86.3984,-86.0188,-86.7705,-87.2711,-86.0147,-86.4704,-89.1196,-94.0858,-107.231,14.5678,13.0426,18.568,4.73661,5.02521,4.96409,4.65321,4.7158,4.73612,4.70849,4.60583,4.82554,4.60961,5.01481,5.12712,4.60599,4.8204,4.74797,4.67093,4.95367,4.6986,4.75958,4.829,4.79517,4.71941,4.67641,4.79921,4.78991,4.91373,7.2678,11.2171,11.0198,ATSC
5882650,-105.576,-93.8237,-74.7185,-88.586,-87.3205,-90.1744,-89.0375,-89.6505,-88.7759,-87.3765,-88.3452,-87.5426,-89.6641,-88.4581,-87.0443,-85.9915,-86.5756,-84.1193,-83.9121,-86.4296,-87.8758,-88.9293,-87.6928,-86.0023,-84.8229,-87.937,-87.4398,-87.405,-87.0657,-89.5903,-94.4174,-106.285,14.1342,13.7125,19.5739,3.55514,6.23774,4.07321,3.03468,3.86182,6.48643,4.51436,3.2902,4.64021,3.44648,6.07087,6.24722,6.68079,4.25072,6.70845,3.75668,5.02364,4.32472,3.50743,7.86458,5.08009,6.64966,3.23528,3.32546,4.84655,3.95914,4.80122,14.3689,9.84503,ATSC
5957620,-114.886,-104.105,-94.8125,-99.4095,-95.4635,-94.9659,-95.773,-96.7874,-96.0137,-95.1239,-92.2994,-83.8949,-87.0796,-86.241,-85.6038,-85.9912,-85.2233,-84.1009,-84.1356,-86.3358,-89.3984,-89.651,-90.4052,-91.0725,-92.0326,-92.8247,-97.46,-97.3889,-98.0544,-100.544,-98.842,-112.101,12.4557,11.009,11.16,6.27616,8.30237,5.98055,5.23704,6.64959,6.75311,5.70093,7.18212,11.0521,5.34652,5.60437,4.7598,4.87722,5.31216,4.87828,5.32031,7.52595,5.38114,5.03152,5.1267,6.12058,4.93013,8.62741,6.90489,4.70155,5.85442,6.85996,13.8566,12.5288,ATSC
5982610,-106.031,-91.6952,-75.4093,-89.4506,-91.8261,-88.8785,-88.1957,-88.8659,-88.5179,-89.6198,-89.4024,-90.488,-87.9953,-86.4909,-84.8502,-84.0475,-82.8234,-84.1802,-84.1766,-86.068,-86.8475,-88.4903,-87.7227,-89.3149,-90.776,-91.1754,-88.7561,-88.5519,-88.7608,-91.5762,-96.9809,-105.512,21.4016,13.3815,17.3411,4.99436,7.87238,7.77013,5.46058,3.93633,5.72897,6.80753,6.09239,6.02429,7.97207,5.19687,4.23049,4.30057,3.23727,4.06426,3.82471,4.61333,4.62762,7.10033,5.63192,4.77241,4.32044,2.55854,5.64481,2.93066,5.20165,6.47273,9.8496,18.7422,ATSC
5932630,-104.298,-95.0701,-80.3225,-95.576,-97.1298,-92.3421,-90.3624,-89.6083,-90.6189,-90.3841,-89.2019,-88.8825,-89.2577,-89.9202,-90.4418,-89.3618,-89.5764,-90.5353,-91.6771,-91.8235,-91.5139,-92.7268,-95.8372,-95.3055,-91.0258,-88.2194,-87.1291,-87.1338,-86.8693,-88.1527,-92.4875,-104.176,14.3666,9.46993,17.8899,8.63999,9.86212,5.99954,5.04029,5.14124,4.57654,4.75086,4.78869,4.64913,5.08875,5.34614,4.93811,4.78962,4.85598,4.6902,5.19215,5.34303,5.2118,5.37674,7.68961,6.69938,6.72369,5.06596,4.8394,4.67682,4.74822,6.71781,11.1065,16.3346,ATSC
5907640,-103.192,-92.9782,-76.1754,-94.188,-95.9734,-90.2834,-87.9014,-86.6406,-88.2831,-87.6493,-86.1022,-85.4591,-86.3895,-87.6663,-88.351,-86.9979,-87.4347,-88.4849,-89.8922,-89.9304,-89.0553,-90.4861,-94.9544,-93.9585,-88.4401,-84.9085,-83.805,-83.5375,-83.0931,-84.3049,-88.2096,-101.937,14.4194,9.59838,19.5456,9.85545,11.4882,5.96951,4.94768,5.29959,4.66691,4.80198,4.87745,4.81526,5.12863,5.41857,5.13332,4.80683,4.80466,4.76804,5.30492,5.5431,5.28496,5.58387,8.3443,7.00727,7.22376,5.22973,4.83672,4.72693,4.60682,6.33834,12.321,17.2224,ATSC
5907640,-102.257,-92.5405,-76.0526,-93.4385,-95.9718,-90.4554,-89.2232,-85.539,-89.076,-88.5997,-84.7196,-85.0612,-86.6804,-88.7972,-89.0883,-87.8539,-86.723,-88.3509,-91.8885,-90.1316,-88.9702,-90.9767,-94.3484,-92.8242,-87.459,-86.3055,-84.4148,-84.276,-83.6942,-84.3359,-86.4902,-99.5794,13.5613,11.1634,18.6208,9.27681,10.1499,4.9177,4.45496,5.42998,2.31255,3.2265,6.53465,4.08913,4.2146,3.14439,3.54946,3.10584,4.72586,3.7667,3.28081,4.85772,4.06833,4.15415,9.26702,8.98872,7.74413,2.68011,3.7758,4.25392,5.57867,4.42081,15.2943,18.8874,ATSC
5907640,-107.924,-94.9153,-78.0027,-91.9615,-92.3399,-88.5775,-87.4338,-86.3033,-86.2424,-86.1371,-85.9927,-85.3396,-85.5579,-86.4759,-87.1659,-86.8687,-86.3385,-86.9842,-88.675,-88.0085,-86.9296,-87.0038,-89.0102,-88.6911,-86.4492,-86.0087,-86.2972,-86.1186,-86.031,-87.6828,-92.0153,-103.001,15.3964,13.5871,19.0121,4.42796,5.4692,5.26178,5.54263,4.34278,5.15899,4.53575,5.13284,4.59814,4.42652,4.34125,5.11861,5.26742,3.77989,4.83717,5.00392,4.79289,6.00907,5.46238,5.07458,4.78708,4.69748,4.59774,5.14076,5.04454,4.62097,6.79228,8.59583,18.835,ATSC
5932630,-110.238,-95.6865,-77.0293,-91.386,-88.7674,-87.7516,-87.9061,-87.617,-84.8128,-84.5492,-87.105,-85.8511,-85.1474,-86.2432,-87.4953,-87.7519,-85.5403,-88.3223,-90.3468,-86.7575,-84.7994,-87.1538,-86.2507,-86.2988,-86.0467,-85.7068,-89.0204,-87.4533,-88.3486,-89.4857,-93.4975,-106.634,16.0087,13.4548,19.9938,4.44534,5.34058,5.04617,4.94396,4.18913,6.29955,5.81143,4.50037,4.73658,5.87467,5.1652,5.3376,6.43381,6.65001,4.52707,5.58095,6.94389,5.8167,2.5514,4.36662,5.0723,4.22543,8.51425,5.48433,4.85933,4.58077,7.68881,10.3695,18.244,ATSC
5907640,-109.909,-95.0669,-77.4599,-90.6461,-90.1538,-87.6934,-87.6155,-86.9695,-85.7398,-85.7879,-86.6346,-85.7714,-85.6569,-86.4753,-87.31,-87.4883,-86.426,-86.9837,-88.8855,-87.6321,-86.2273,-85.7078,-86.5561,-86.4447,-86.1354,-87.328,-88.4221,-88.1298,-88.3152,-90.3276,-95.2478,-105.388,15.295,13.1628,18.9234,4.7867,4.81761,5.02759,4.70931,4.80304,4.70058,4.88832,4.71362,4.74292,4.61122,4.62484,5.06189,4.9255,4.57884,4.9603,4.78793,4.87515,5.06726,4.7845,4.60474,4.53482,4.65941,4.90021,4.67079,4.55916,4.64655,7.2367,8.94611,19.3438,ATSC
